tag_Jichao,locus_tag,old_locus_tag,gene,product,
ECD_RS00190,ECD_RS00190,ECD_00037,carB,carbamoyl-phosphate synthase large subunit,
ECD_RS00200,ECD_RS00200,ECD_00038,caiF,carnitine metabolism transcriptional regulator CaiF,
ECD_RS00205,ECD_RS00205,ECD_00039,caiE,carnitine operon protein CaiE,
ECD_RS00210,ECD_RS00210,ECD_00040,caiD,crotonobetainyl-CoA hydratase,
ECD_RS00215,ECD_RS00215,ECD_00041,caiC,crotonobetaine/carnitine-CoA ligase,
ECD_RS00220,ECD_RS00220,NULL,caiB,L-carnitine CoA-transferase,
ECD_RS00225,ECD_RS00225,ECD_00043,caiA,crotonobetainyl-CoA dehydrogenase,
ECD_RS00230,ECD_RS00230,ECD_00044,caiT,L-carnitine/gamma-butyrobetaine antiport BCCT transporter,
ECD_RS00235,ECD_RS00235,ECD_00045,NULL,electron transfer flavoprotein FixA,
ECD_RS00240,ECD_RS00240,ECD_00046,NULL,electron transfer flavoprotein subunit alpha/FixB family protein,
ECD_RS00245,ECD_RS00245,ECD_00047,NULL,FAD-dependent oxidoreductase,
ECD_RS00250,ECD_RS00250,ECD_00048,fixX,ferredoxin-like protein FixX,
ECD_RS00255,ECD_RS00255,ECD_00049,NULL,MFS transporter,
ECD_RS00260,ECD_RS00260,ECD_00050,kefF,glutathione-regulated potassium-efflux system oxidoreductase KefF,
ECD_RS00265,ECD_RS00265,ECD_00051,kefC,glutathione-regulated potassium-efflux system protein KefC,
ECD_RS00270,ECD_RS00270,ECD_00052,folA,type 3 dihydrofolate reductase,
ECD_RS00275,ECD_RS00275,ECD_00053,apaH,bis(5'-nucleosyl)-tetraphosphatase (symmetrical),
ECD_RS00280,ECD_RS00280,ECD_00054,apaG,Co2+/Mg2+ efflux protein ApaG,
ECD_RS00285,ECD_RS00285,ECD_00055,rsmA,16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))- dimethyltransferase RsmA,
ECD_RS00290,ECD_RS00290,ECD_00056,NULL,4-hydroxythreonine-4-phosphate dehydrogenase PdxA,
ECD_RS00295,ECD_RS00295,ECD_00057,surA,peptidylprolyl isomerase SurA,
ECD_RS00300,ECD_RS00300,ECD_00058,lptD,LPS assembly protein LptD,
ECD_RS00305,ECD_RS00305,ECD_00059,djlA,co-chaperone DjlA,
ECD_RS00310,ECD_RS00310,ECD_00060,rluA,bifunctional tRNA pseudouridine(32) synthase/23S rRNA pseudouridine(746) synthase RluA,
ECD_RS00315,ECD_RS00315,ECD_00061,rapA,RNA polymerase-associated protein RapA,
ECD_RS00320,ECD_RS00320,ECD_00062,polB,DNA polymerase II,
ECD_RS00325,ECD_RS00325,ECD_00063,araD,L-ribulose-5-phosphate 4-epimerase,
ECD_RS00330,ECD_RS00330,ECD_00064,araA,L-arabinose isomerase,
ECD_RS00335,ECD_RS00335,ECD_00065,araB,ribulokinase,
ECD_RS00340,ECD_RS00340,ECD_00066,araC,arabinose operon transcriptional regulator AraC,
ECD_RS00345,ECD_RS00345,ECD_00067,NULL,DedA family protein,
ECD_RS00350,ECD_RS00350,ECD_00068,thiQ,thiamine ABC transporter ATP-binding protein ThiQ,
ECD_RS00355,ECD_RS00355,ECD_00069,thiP,thiamine/thiamine pyrophosphate ABC transporter permease ThiP,
ECD_RS00360,ECD_RS00360,ECD_00070,thiB,thiamine ABC transporter substrate binding subunit,
ECD_RS00365,ECD_RS00365,ECD_00071,NULL,HTH-type transcriptional regulator SgrR,
ECD_RS00370,ECD_RS00370,NULL,sgrT,glucose uptake inhibitor SgrT,
ECD_RS00375,ECD_RS00375,ECD_00072,setA,sugar efflux transporter SetA,
ECD_RS00380,ECD_RS00380,ECD_00073,leuD,3-isopropylmalate dehydratase small subunit,
ECD_RS00385,ECD_RS00385,ECD_00074,leuC,3-isopropylmalate dehydratase large subunit,
ECD_RS00390,ECD_RS00390,ECD_00075,leuB,3-isopropylmalate dehydrogenase,
ECD_RS00395,ECD_RS00395,ECD_00076,leuA,2-isopropylmalate synthase,
ECD_RS00400,ECD_RS00400,ECD_00077,leuL,leu operon leader peptide,
ECD_RS00405,ECD_RS00405,ECD_00078,leuO,transcriptional regulator LeuO,
ECD_RS00410,ECD_RS00410,ECD_00079,ilvI,acetolactate synthase 3 large subunit,
ECD_RS00415,ECD_RS00415,ECD_00080,ilvN,acetolactate synthase small subunit,
ECD_RS00420,ECD_RS00420,NULL,NULL,fruR/shl operon leader peptide,
ECD_RS00425,ECD_RS00425,ECD_00081,cra,catabolite repressor/activator,
ECD_RS00430,ECD_RS00430,ECD_00082,NULL,division/cell wall cluster transcriptional repressor MraZ,
ECD_RS00435,ECD_RS00435,ECD_00083,rsmH,16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH,
ECD_RS00440,ECD_RS00440,ECD_00084,ftsL,cell division protein FtsL,
ECD_RS00445,ECD_RS00445,ECD_00085,NULL,peptidoglycan glycosyltransferase FtsI,
ECD_RS00450,ECD_RS00450,ECD_00086,murE,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase,
ECD_RS00455,ECD_RS00455,ECD_00087,murF,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase,
ECD_RS00460,ECD_RS00460,ECD_00088,mraY,phospho-N-acetylmuramoyl-pentapeptide- transferase,
ECD_RS00465,ECD_RS00465,ECD_00089,murD,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase,
ECD_RS00470,ECD_RS00470,ECD_00090,ftsW,cell division protein FtsW,
ECD_RS00475,ECD_RS00475,ECD_00091,murG,undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase,
ECD_RS00480,ECD_RS00480,ECD_00092,murC,UDP-N-acetylmuramate--L-alanine ligase,
ECD_RS00485,ECD_RS00485,ECD_00093,NULL,D-alanine--D-alanine ligase,
ECD_RS00490,ECD_RS00490,ECD_00094,ftsQ,cell division protein FtsQ,
ECD_RS00495,ECD_RS00495,ECD_00095,ftsA,cell division protein FtsA,
ECD_RS00500,ECD_RS00500,ECD_00096,ftsZ,cell division protein FtsZ,
ECD_RS00505,ECD_RS00505,ECD_00097,lpxC,UDP-3-O-acyl-N-acetylglucosamine deacetylase,
ECD_RS00510,ECD_RS00510,ECD_00098,secM,secA regulator SecM,
ECD_RS00515,ECD_RS00515,ECD_00099,secA,preprotein translocase subunit SecA,
ECD_RS00520,ECD_RS00520,ECD_00100,mutT,8-oxo-dGTP diphosphatase MutT,
ECD_RS00530,ECD_RS00530,ECD_00101,yacG,DNA gyrase inhibitor YacG,
ECD_RS00535,ECD_RS00535,ECD_00102,zapD,cell division protein ZapD,
ECD_RS00540,ECD_RS00540,ECD_00103,coaE,dephospho-CoA kinase,
ECD_RS00545,ECD_RS00545,ECD_00104,guaC,GMP reductase,
ECD_RS00550,ECD_RS00550,ECD_00105,hofC,protein transport protein HofC,
ECD_RS00555,ECD_RS00555,ECD_00106,gspE,type II secretion system protein GspE,
ECD_RS00560,ECD_RS00560,ECD_00107,ppdD,prepilin peptidase-dependent pilin,
ECD_RS00570,ECD_RS00570,ECD_00108,nadC,carboxylating nicotinate-nucleotide diphosphorylase,
ECD_RS00575,ECD_RS00575,ECD_00109,ampD,1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD,
ECD_RS00580,ECD_RS00580,ECD_00110,ampE,beta-lactamase regulator AmpE,
ECD_RS00585,ECD_RS00585,ECD_00111,aroP,aromatic amino acid transporter AroP,
ECD_RS00590,ECD_RS00590,ECD_00112,pdhR,pyruvate dehydrogenase complex transcriptional repressor PdhR,
ECD_RS00595,ECD_RS00595,ECD_00113,aceE,pyruvate dehydrogenase (acetyl-transferring), homodimeric type,
ECD_RS00600,ECD_RS00600,ECD_00114,aceF,pyruvate dehydrogenase complex dihydrolipoyllysine-residue acetyltransferase,
ECD_RS00605,ECD_RS00605,ECD_00115,lpdA,dihydrolipoyl dehydrogenase,
ECD_RS00610,ECD_RS00610,ECD_00116,NULL,DUF3300 domain-containing protein,
ECD_RS00615,ECD_RS00615,ECD_00117,acnB,bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase,
ECD_RS00620,ECD_RS00620,ECD_00118,NULL,YacL family protein,
ECD_RS00625,ECD_RS00625,ECD_00119,speD,adenosylmethionine decarboxylase,
ECD_RS00630,ECD_RS00630,ECD_00120,speE,polyamine aminopropyltransferase,
ECD_RS00635,ECD_RS00635,ECD_00121,NULL,YacC family pilotin-like protein,
ECD_RS00640,ECD_RS00640,ECD_00122,cueO,multicopper oxidase CueO,
ECD_RS00645,ECD_RS00645,ECD_00123,NULL,pyrroloquinoline quinone-dependent dehydrogenase,
ECD_RS00650,ECD_RS00650,ECD_00124,NULL,hypoxanthine phosphoribosyltransferase,
ECD_RS00655,ECD_RS00655,ECD_00125,NULL,carbonate dehydratase,
ECD_RS00660,ECD_RS00660,ECD_00126,NULL,ABC transporter ATP-binding protein,
ECD_RS00665,ECD_RS00665,ECD_00127,NULL,ABC transporter permease,
ECD_RS00670,ECD_RS00670,ECD_00128,NULL,PTS sugar transporter subunit IIA,
ECD_RS00675,ECD_RS00675,ECD_00129,NULL,polysaccharide deacetylase family protein,
ECD_RS00680,ECD_RS00680,ECD_00130,panD,aspartate 1-decarboxylase,
ECD_RS00685,ECD_RS00685,ECD_00131,NULL,Rpn family recombination-promoting nuclease/putative transposase,
ECD_RS00690,ECD_RS00690,ECD_00132,panC,pantoate--beta-alanine ligase,
ECD_RS00695,ECD_RS00695,ECD_00133,panB,3-methyl-2-oxobutanoate hydroxymethyltransferase,
ECD_RS00700,ECD_RS00700,ECD_00134,NULL,fimbrial-like adhesin,
ECD_RS00705,ECD_RS00705,ECD_00135,NULL,fimbrial protein,
ECD_RS00710,ECD_RS00710,ECD_00136,yadL,fimbrial-like protein YadL,
ECD_RS00715,ECD_RS00715,ECD_00137,NULL,fimbrial protein,
ECD_RS00720,ECD_RS00720,ECD_00138,NULL,Yad fimbria usher protein HtrE,
ECD_RS00725,ECD_RS00725,ECD_00139,NULL,fimbrial chaperone,
ECD_RS00730,ECD_RS00730,ECD_00140,NULL,fimbrial protein,
ECD_RS00735,ECD_RS00735,ECD_00141,folK,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase,
ECD_RS00740,ECD_RS00740,ECD_00142,pcnB,polynucleotide adenylyltransferase PcnB,
ECD_RS00745,ECD_RS00745,ECD_00143,gluQRS,tRNA glutamyl-Q(34) synthetase GluQRS,
ECD_RS00750,ECD_RS00750,ECD_00144,NULL,RNA polymerase-binding transcription factor DksA,
ECD_RS00755,ECD_RS00755,ECD_00145,sfsA,DNA/RNA nuclease SfsA,
ECD_RS00760,ECD_RS00760,ECD_00146,thpR,RNA 2',3'-cyclic phosphodiesterase,
ECD_RS00765,ECD_RS00765,ECD_00147,hrpB,ATP-dependent helicase HrpB,
ECD_RS00775,ECD_RS00775,ECD_00148,mrcB,bifunctional glycosyl transferase/transpeptidase,
ECD_RS00780,ECD_RS00780,ECD_00149,fhuA,ferrichrome porin FhuA,
ECD_RS00785,ECD_RS00785,ECD_00150,fhuC,Fe3+-hydroxamate ABC transporter ATP-binding protein FhuC,
ECD_RS00790,ECD_RS00790,ECD_00151,fhuD,Fe(3+)-hydroxamate ABC transporter substrate-binding protein FhuD,
ECD_RS00795,ECD_RS00795,ECD_00152,fhuB,Fe(3+)-hydroxamate ABC transporter permease FhuB,
ECD_RS00800,ECD_RS00800,ECD_00153,NULL,glutamate-1-semialdehyde 2,1-aminomutase,
ECD_RS00805,ECD_RS00805,ECD_00154,clcA,H(+)/Cl(-) exchange transporter ClcA,
ECD_RS25470,ECD_RS25470,NULL,NULL,protein YadW,
ECD_RS00810,ECD_RS00810,ECD_00155,erpA,iron-sulfur cluster insertion protein ErpA,
ECD_RS00815,ECD_RS00815,ECD_00156,NULL,TRIC cation channel family protein,
ECD_RS00820,ECD_RS00820,ECD_00157,btuF,vitamin B12 ABC transporter substrate-binding protein BtuF,
ECD_RS00825,ECD_RS00825,ECD_00158,mtnN,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,
ECD_RS00830,ECD_RS00830,ECD_00159,NULL,dGTPase,
ECD_RS00835,ECD_RS00835,ECD_00160,degP,serine endoprotease DegP,
ECD_RS00840,ECD_RS00840,ECD_00161,NULL,CdaR family transcriptional regulator,
ECD_RS00845,ECD_RS00845,ECD_00162,NULL,DUF3461 family protein,
ECD_RS25475,ECD_RS25475,NULL,NULL,hypothetical protein,
ECD_RS00850,ECD_RS00850,ECD_00163,yaeI,phosphodiesterase YaeI,
ECD_RS00855,ECD_RS00855,ECD_00164,dapD,2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase,
ECD_RS00860,ECD_RS00860,ECD_00165,glnD,bifunctional uridylyltransferase/uridylyl-removing protein GlnD,
ECD_RS00865,ECD_RS00865,ECD_00166,map,type I methionyl aminopeptidase,
ECD_RS00870,ECD_RS00870,ECD_00167,rpsB,30S ribosomal protein S2,
ECD_RS00875,ECD_RS00875,ECD_00168,tsf,elongation factor Ts,
ECD_RS00880,ECD_RS00880,ECD_00169,pyrH,UMP kinase,
ECD_RS00885,ECD_RS00885,ECD_00170,NULL,ribosome recycling factor,
ECD_RS00890,ECD_RS00890,ECD_00171,ispC,1-deoxy-D-xylulose-5-phosphate reductoisomerase,
ECD_RS00895,ECD_RS00895,ECD_00172,ispU,(2E,6E)-farnesyl-diphosphate-specific ditrans,polycis-undecaprenyl-diphosphate synthase,
ECD_RS00900,ECD_RS00900,ECD_00173,cdsA,phosphatidate cytidylyltransferase,
ECD_RS00905,ECD_RS00905,ECD_00174,rseP,sigma E protease regulator RseP,
ECD_RS00910,ECD_RS00910,ECD_00175,bamA,outer membrane protein assembly factor BamA,
ECD_RS00915,ECD_RS00915,ECD_00176,skp,molecular chaperone Skp,
ECD_RS00920,ECD_RS00920,ECD_00177,lpxD,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,
ECD_RS00925,ECD_RS00925,ECD_00178,fabZ,3-hydroxyacyl-ACP dehydratase FabZ,
ECD_RS00930,ECD_RS00930,ECD_00179,lpxA,acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase,
ECD_RS00935,ECD_RS00935,ECD_00180,lpxB,lipid-A-disaccharide synthase,
ECD_RS00940,ECD_RS00940,ECD_00181,rnhB,ribonuclease HII,
ECD_RS00945,ECD_RS00945,ECD_00182,dnaE,DNA polymerase III subunit alpha,
ECD_RS00950,ECD_RS00950,ECD_00183,accA,acetyl-CoA carboxylase carboxyl transferase subunit alpha,
ECD_RS00955,ECD_RS00955,ECD_00184,ldcC,lysine decarboxylase LdcC,
ECD_RS00960,ECD_RS00960,ECD_00185,NULL,VOC family protein,
ECD_RS00965,ECD_RS00965,ECD_00186,tilS,tRNA lysidine(34) synthetase TilS,
ECD_RS00970,ECD_RS00970,ECD_00187,rof,Rho-binding antiterminator,
ECD_RS00975,ECD_RS00975,ECD_00188,NULL,YaeP family protein,
ECD_RS00980,ECD_RS00980,ECD_00189,NULL,YaeQ family protein,
ECD_RS00985,ECD_RS00985,ECD_00190,NULL,aminoacyl-tRNA hydrolase,
ECD_RS00990,ECD_RS00990,ECD_00191,nlpE,envelope stress response activation lipoprotein NlpE,
ECD_RS00995,ECD_RS00995,ECD_00192,NULL,YaeF family permuted papain-like enzyme,
ECD_RS01000,ECD_RS01000,ECD_00193,proS,proline--tRNA ligase,
ECD_RS01005,ECD_RS01005,ECD_00194,tsaA,tRNA (N6-threonylcarbamoyladenosine(37)-N6)-methyltransferase TrmO,
ECD_RS01010,ECD_RS01010,ECD_00195,rcsF,Rcs stress response system protein RcsF,
ECD_RS01015,ECD_RS01015,ECD_00196,metQ,methionine ABC transporter substrate-binding lipoprotein MetQ,
ECD_RS01020,ECD_RS01020,ECD_00197,metI,methionine ABC transporter permease MetI,
ECD_RS01025,ECD_RS01025,ECD_00198,metN,methionine ABC transporter ATP-binding protein MetN,
ECD_RS01030,ECD_RS01030,ECD_00199,gmhB,D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase,
ECD_RS01035,ECD_RS01035,ECD_r00001,NULL,16S ribosomal RNA,
ECD_RS01040,ECD_RS01040,ECD_t00001,NULL,tRNA-Ile,
ECD_RS01045,ECD_RS01045,ECD_t00002,NULL,tRNA-Ala,
ECD_RS01050,ECD_RS01050,ECD_r00002,NULL,23S ribosomal RNA,
ECD_RS01055,ECD_RS01055,ECD_r00003,rrf,5S ribosomal RNA,
ECD_RS01060,ECD_RS01060,ECD_t00003,NULL,tRNA-Asp,
ECD_RS01065,ECD_RS01065,ECD_00200,dkgB,2,5-didehydrogluconate reductase DkgB,
ECD_RS01070,ECD_RS01070,ECD_00201,NULL,LysR family transcriptional regulator,
ECD_RS01075,ECD_RS01075,ECD_00202,NULL,endonuclease/exonuclease/phosphatase family protein,
ECD_RS01080,ECD_RS01080,ECD_00203,NULL,methyltransferase domain-containing protein,
ECD_RS01085,ECD_RS01085,ECD_00204,mltD,murein transglycosylase D,
ECD_RS01090,ECD_RS01090,ECD_00205,gloB,hydroxyacylglutathione hydrolase,
ECD_RS01095,ECD_RS01095,ECD_00206,NULL,class I SAM-dependent methyltransferase,
ECD_RS01100,ECD_RS01100,ECD_00207,rnhA,ribonuclease HI,
ECD_RS01105,ECD_RS01105,ECD_00208,dnaQ,DNA polymerase III subunit epsilon,
ECD_RS01110,ECD_RS01110,ECD_t00004,NULL,tRNA-Asp,
ECD_RS01115,ECD_RS01115,ECD_00209,NULL,hypothetical protein,
ECD_RS01120,ECD_RS01120,ECD_00211,NULL,IS1-like element IS1A family transposase,
ECD_RS25480,ECD_RS25480,ECD_00212,NULL,hypothetical protein,
ECD_RS01125,ECD_RS01125,ECD_00213,NULL,ISAs1 family transposase,
ECD_RS01130,ECD_RS01130,ECD_00214,yafV,2-oxoglutaramate amidase,
ECD_RS01135,ECD_RS01135,ECD_00215,NULL,C-lysozyme inhibitor,
ECD_RS01140,ECD_RS01140,ECD_00216,NULL,acyl-CoA dehydrogenase,
ECD_RS01145,ECD_RS01145,ECD_00217,lpcA,D-sedoheptulose 7-phosphate isomerase,
ECD_RS01150,ECD_RS01150,ECD_00218,NULL,class II glutamine amidotransferase,
ECD_RS01155,ECD_RS01155,ECD_00219,NULL,murein L,D-transpeptidase,
ECD_RS01160,ECD_RS01160,ECD_00220,yafQ,type II toxin-antitoxin system mRNA interferase toxin YafQ,
ECD_RS01165,ECD_RS01165,ECD_00221,dinJ,type II toxin-antitoxin system antitoxin DinJ,
ECD_RS01170,ECD_RS01170,ECD_00222,NULL,C40 family peptidase,
ECD_RS01175,ECD_RS01175,ECD_00223,rayT,REP-associated tyrosine transposase RayT,
ECD_RS01180,ECD_RS01180,NULL,flhA,flagellar type III secretion system protein FlhA,
ECD_RS01185,ECD_RS01185,NULL,lafU,putative lateral flagellar export/assembly protein LafU,
ECD_RS01190,ECD_RS01190,ECD_00226,dinB,DNA polymerase IV,
ECD_RS01195,ECD_RS01195,ECD_00227,yafN,type I toxin-antitoxin system antitoxin YafN,
ECD_RS01200,ECD_RS01200,ECD_00228,NULL,type II toxin-antitoxin system YafO family toxin,
ECD_RS01205,ECD_RS01205,ECD_00229,NULL,GNAT family N-acetyltransferase,
ECD_RS01210,ECD_RS01210,ECD_00230,NULL,hypothetical protein,
ECD_RS01215,ECD_RS01215,ECD_00231,NULL,peptide chain release factor H,
ECD_RS01220,ECD_RS01220,ECD_00232,pepD,cytosol nonspecific dipeptidase,
ECD_RS01225,ECD_RS01225,ECD_00233,NULL,xanthine phosphoribosyltransferase,
ECD_RS01230,ECD_RS01230,ECD_00234,frsA,esterase FrsA,
ECD_RS01235,ECD_RS01235,ECD_00235,NULL,sigma factor-binding protein Crl,
ECD_RS01240,ECD_RS01240,ECD_00237,NULL,IS1 family transposase,
ECD_RS01245,ECD_RS01245,ECD_00238,phoE,phosphoporin PhoE,
ECD_RS01250,ECD_RS01250,ECD_00239,proB,glutamate 5-kinase,
ECD_RS01255,ECD_RS01255,ECD_00240,proA,glutamate-5-semialdehyde dehydrogenase,
ECD_RS01260,ECD_RS01260,ECD_t00005,NULL,tRNA-Thr,
ECD_RS01265,ECD_RS01265,ECD_00241,NULL,hypothetical protein,
ECD_RS01270,ECD_RS01270,ECD_00242,paoD,molybdenum cofactor insertion chaperone PaoD,
ECD_RS01275,ECD_RS01275,ECD_00243,NULL,xanthine dehydrogenase family protein molybdopterin-binding subunit,
ECD_RS01280,ECD_RS01280,ECD_00244,NULL,xanthine dehydrogenase family protein subunit M,
ECD_RS01285,ECD_RS01285,ECD_00245,paoA,aldehyde dehydrogenase iron-sulfur subunit,
ECD_RS01290,ECD_RS01290,ECD_00246,NULL,YagU family protein,
ECD_RS25485,ECD_RS25485,NULL,NULL,hypothetical protein,
ECD_RS01300,ECD_RS01300,ECD_00247,NULL,YkgJ family cysteine cluster protein,
ECD_RS01305,ECD_RS01305,ECD_00248,NULL,fimbria/pilus periplasmic chaperone,
ECD_RS01310,ECD_RS01310,ECD_00249,ecpD,fimbrial adhesin EcpD,
ECD_RS01315,ECD_RS01315,ECD_00250,NULL,fimbrial biogenesis outer membrane usher protein,
ECD_RS01320,ECD_RS01320,ECD_00251,NULL,fimbrial chaperone EcpB,
ECD_RS01325,ECD_RS01325,ECD_00252,ecpA,common pilus major fimbrillin subunit EcpA,
ECD_RS01330,ECD_RS01330,ECD_00253,ecpR,ECP biosynthesis operon DNA-binding transcriptional regulator EcpR,
ECD_RS01335,ECD_RS01335,ECD_00254,NULL,hypothetical protein,
ECD_RS01340,ECD_RS01340,NULL,NULL,50S ribosomal protein L36,
ECD_RS01345,ECD_RS01345,ECD_00255,NULL,type B 50S ribosomal protein L31,
ECD_RS01350,ECD_RS01350,NULL,NULL,hypothetical protein,
ECD_RS24505,ECD_RS24505,NULL,NULL,oxidoreductase,
ECD_RS01355,ECD_RS01355,ECD_00256,NULL,hypothetical protein,
ECD_RS01360,ECD_RS01360,ECD_00257,NULL,helix-turn-helix domain-containing protein,
ECD_RS25490,ECD_RS25490,NULL,NULL,aldo/keto reductase,
ECD_RS01365,ECD_RS01365,ECD_00258,rclC,reactive chlorine species resistance protein RclC,
ECD_RS01370,ECD_RS01370,ECD_00259,NULL,DUF1471 domain-containing protein,
ECD_RS01375,ECD_RS01375,ECD_00260,NULL,pyridine nucleotide-disulfide oxidoreductase,
ECD_RS01380,ECD_RS01380,ECD_00261,NULL,helix-turn-helix transcriptional regulator,
ECD_RS01385,ECD_RS01385,ECD_00262,NULL,(Fe-S)-binding protein,
ECD_RS01390,ECD_RS01390,ECD_00263,NULL,iron-sulfur cluster-binding protein,
ECD_RS01395,ECD_RS01395,ECD_00264,NULL,lactate utilization protein C,
ECD_RS01405,ECD_RS01405,ECD_00266,NULL,hypothetical protein,
ECD_RS01410,ECD_RS01410,ECD_00267,betA,choline dehydrogenase,
ECD_RS01415,ECD_RS01415,ECD_00268,betB,betaine-aldehyde dehydrogenase,
ECD_RS01420,ECD_RS01420,ECD_00269,betI,transcriptional regulator BetI,
ECD_RS01425,ECD_RS01425,ECD_00270,betT,choline BCCT transporter BetT,
ECD_RS25495,ECD_RS25495,NULL,NULL,protein YahV,
ECD_RS01435,ECD_RS01435,ECD_00271,NULL,EAL domain-containing protein,
ECD_RS01440,ECD_RS01440,ECD_00272,NULL,LysR family transcriptional regulator,
ECD_RS01445,ECD_RS01445,ECD_00273,NULL,DUF1097 domain-containing protein,
ECD_RS01450,ECD_RS01450,ECD_00274,NULL,ankyrin repeat domain-containing protein,
ECD_RS01455,ECD_RS01455,ECD_00275,NULL,DUF2877 domain-containing protein,
ECD_RS01460,ECD_RS01460,ECD_00276,fdrA,acyl-CoA synthetase FdrA,
ECD_RS01465,ECD_RS01465,ECD_00277,NULL,DUF1116 domain-containing protein,
ECD_RS25070,ECD_RS25070,NULL,NULL,hypothetical protein,
ECD_RS01475,ECD_RS01475,ECD_00278,NULL,carbamate kinase family protein,
ECD_RS01480,ECD_RS01480,ECD_00279,NULL,amidohydrolase family protein,
ECD_RS01485,ECD_RS01485,ECD_00280,yahK,NADPH-dependent aldehyde reductase YahK,
ECD_RS01490,ECD_RS01490,ECD_00281,NULL,hypothetical protein,
ECD_RS01495,ECD_RS01495,ECD_00282,NULL,hypothetical protein,
ECD_RS01500,ECD_RS01500,ECD_00283,NULL,LysE family transporter,
ECD_RS01505,ECD_RS01505,ECD_00284,NULL,DUF1471 domain-containing protein,
ECD_RS01510,ECD_RS01510,ECD_00285,prpR,propionate catabolism operon regulatory protein PrpR,
ECD_RS01515,ECD_RS01515,ECD_00286,prpB,methylisocitrate lyase,
ECD_RS01520,ECD_RS01520,ECD_00287,prpC,2-methylcitrate synthase,
