tag_Jichao,locus_tag,old_locus_tag,gene,product,
BW25113_RS00370,BW25113_RS00370,BW25113_0074,leuA,2-isopropylmalate synthase,
BW25113_RS00375,BW25113_RS00375,BW25113_0075,leuL,leu operon leader peptide,
BW25113_RS00380,BW25113_RS00380,BW25113_0076,leuO,transcriptional regulator LeuO,
BW25113_RS25405,BW25113_RS25405,NULL,NULL,protein YabR,
BW25113_RS00385,BW25113_RS00385,BW25113_0077,ilvI,acetolactate synthase 3 large subunit,
BW25113_RS00390,BW25113_RS00390,BW25113_0078,ilvN,acetolactate synthase small subunit,
BW25113_RS00395,BW25113_RS00395,NULL,NULL,fruR/shl operon leader peptide,
BW25113_RS00400,BW25113_RS00400,BW25113_0080,cra,catabolite repressor/activator,
BW25113_RS00405,BW25113_RS00405,BW25113_0081,NULL,division/cell wall cluster transcriptional repressor MraZ,
BW25113_RS00410,BW25113_RS00410,BW25113_0082,rsmH,16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH,
BW25113_RS00415,BW25113_RS00415,BW25113_0083,ftsL,cell division protein FtsL,
BW25113_RS00420,BW25113_RS00420,BW25113_0084,NULL,peptidoglycan glycosyltransferase FtsI,
BW25113_RS00425,BW25113_RS00425,BW25113_0085,murE,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase,
BW25113_RS00430,BW25113_RS00430,BW25113_0086,murF,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase,
BW25113_RS00435,BW25113_RS00435,BW25113_0087,mraY,phospho-N-acetylmuramoyl-pentapeptide- transferase,
BW25113_RS00440,BW25113_RS00440,BW25113_0088,murD,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase,
BW25113_RS00445,BW25113_RS00445,BW25113_0089,ftsW,cell division protein FtsW,
BW25113_RS00450,BW25113_RS00450,BW25113_0090,murG,undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase,
BW25113_RS00455,BW25113_RS00455,BW25113_0091,murC,UDP-N-acetylmuramate--L-alanine ligase,
BW25113_RS00460,BW25113_RS00460,BW25113_0092,NULL,D-alanine--D-alanine ligase B,
BW25113_RS00465,BW25113_RS00465,BW25113_0093,ftsQ,cell division protein FtsQ,
BW25113_RS00470,BW25113_RS00470,BW25113_0094,ftsA,cell division protein FtsA,
BW25113_RS00475,BW25113_RS00475,BW25113_0095,ftsZ,cell division protein FtsZ,
BW25113_RS00480,BW25113_RS00480,BW25113_0096,lpxC,UDP-3-O-acyl-N-acetylglucosamine deacetylase,
BW25113_RS00485,BW25113_RS00485,BW25113_0097,secM,secA regulator SecM,
BW25113_RS00490,BW25113_RS00490,BW25113_0098,secA,preprotein translocase subunit SecA,
BW25113_RS00495,BW25113_RS00495,BW25113_0099,mutT,8-oxo-dGTP diphosphatase MutT,
BW25113_RS00505,BW25113_RS00505,BW25113_0101,yacG,DNA gyrase inhibitor YacG,
BW25113_RS00510,BW25113_RS00510,BW25113_0102,zapD,cell division protein ZapD,
BW25113_RS00515,BW25113_RS00515,BW25113_0103,coaE,dephospho-CoA kinase,
BW25113_RS00520,BW25113_RS00520,BW25113_0104,guaC,GMP reductase,
BW25113_RS00525,BW25113_RS00525,BW25113_0106,hofC,protein transport protein HofC,
BW25113_RS00530,BW25113_RS00530,BW25113_0107,gspE,type II secretion system protein GspE,
BW25113_RS00535,BW25113_RS00535,BW25113_0108,ppdD,prepilin peptidase-dependent pilin,
BW25113_RS00545,BW25113_RS00545,BW25113_0109,nadC,carboxylating nicotinate-nucleotide diphosphorylase,
BW25113_RS00550,BW25113_RS00550,BW25113_0110,ampD,1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD,
BW25113_RS00555,BW25113_RS00555,BW25113_0111,ampE,beta-lactamase regulator AmpE,
BW25113_RS00560,BW25113_RS00560,BW25113_0112,aroP,aromatic amino acid transporter AroP,
BW25113_RS00565,BW25113_RS00565,BW25113_0113,pdhR,pyruvate dehydrogenase complex transcriptional repressor PdhR,
BW25113_RS00570,BW25113_RS00570,BW25113_0114,aceE,pyruvate dehydrogenase (acetyl-transferring), homodimeric type,
BW25113_RS00575,BW25113_RS00575,BW25113_0115,aceF,pyruvate dehydrogenase complex dihydrolipoyllysine-residue acetyltransferase,
BW25113_RS00580,BW25113_RS00580,BW25113_0116,lpdA,dihydrolipoyl dehydrogenase,
BW25113_RS00585,BW25113_RS00585,BW25113_0117,NULL,DUF3300 domain-containing protein,
BW25113_RS00590,BW25113_RS00590,BW25113_0118,acnB,bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase,
BW25113_RS00595,BW25113_RS00595,BW25113_0119,NULL,UPF0231 family protein,
BW25113_RS00600,BW25113_RS00600,BW25113_0120,speD,adenosylmethionine decarboxylase,
BW25113_RS00605,BW25113_RS00605,BW25113_0121,speE,polyamine aminopropyltransferase,
BW25113_RS00610,BW25113_RS00610,BW25113_0122,NULL,PulS family protein,
BW25113_RS00615,BW25113_RS00615,BW25113_0123,cueO,multicopper oxidase CueO,
BW25113_RS00620,BW25113_RS00620,BW25113_0124,NULL,pyrroloquinoline quinone-dependent dehydrogenase,
BW25113_RS00625,BW25113_RS00625,BW25113_0125,NULL,hypoxanthine phosphoribosyltransferase,
BW25113_RS00630,BW25113_RS00630,BW25113_0126,NULL,carbonate dehydratase,
BW25113_RS00635,BW25113_RS00635,BW25113_0127,NULL,ABC transporter ATP-binding protein,
BW25113_RS00640,BW25113_RS00640,BW25113_0128,NULL,ABC transporter permease,
BW25113_RS00645,BW25113_RS00645,BW25113_0129,NULL,PTS sugar transporter subunit IIA,
BW25113_RS00650,BW25113_RS00650,BW25113_0130,NULL,polysaccharide deacetylase family protein,
BW25113_RS00655,BW25113_RS00655,BW25113_0131,panD,aspartate 1-decarboxylase,
BW25113_RS00660,BW25113_RS00660,BW25113_0132,NULL,Rpn family recombination-promoting nuclease/putative transposase,
BW25113_RS00665,BW25113_RS00665,BW25113_0133,panC,pantoate--beta-alanine ligase,
BW25113_RS00670,BW25113_RS00670,BW25113_0134,panB,3-methyl-2-oxobutanoate hydroxymethyltransferase,
BW25113_RS00675,BW25113_RS00675,BW25113_0135,yadC,fimbrial tip-adhesin YadC,
BW25113_RS00680,BW25113_RS00680,BW25113_0136,NULL,fimbrial protein,
BW25113_RS00685,BW25113_RS00685,BW25113_0137,yadL,fimbrial-like protein YadL,
BW25113_RS00690,BW25113_RS00690,BW25113_0138,NULL,fimbrial protein,
BW25113_RS00695,BW25113_RS00695,BW25113_0139,NULL,Yad fimbria usher protein HtrE,
BW25113_RS00700,BW25113_RS00700,BW25113_0140,NULL,fimbrial chaperone,
BW25113_RS00705,BW25113_RS00705,BW25113_0141,NULL,fimbrial protein,
BW25113_RS00710,BW25113_RS00710,BW25113_0142,NULL,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase,
BW25113_RS00715,BW25113_RS00715,BW25113_0143,pcnB,polynucleotide adenylyltransferase PcnB,
BW25113_RS00720,BW25113_RS00720,BW25113_0144,gluQRS,tRNA glutamyl-Q(34) synthetase GluQRS,
BW25113_RS00725,BW25113_RS00725,BW25113_0145,NULL,RNA polymerase-binding transcription factor DksA,
BW25113_RS00730,BW25113_RS00730,BW25113_0146,sfsA,DNA/RNA nuclease SfsA,
BW25113_RS00735,BW25113_RS00735,BW25113_0147,thpR,RNA 2',3'-cyclic phosphodiesterase,
BW25113_RS00740,BW25113_RS00740,BW25113_0148,NULL,ATP-dependent RNA helicase HrpB,
BW25113_RS00750,BW25113_RS00750,BW25113_0149,mrcB,bifunctional glycosyl transferase/transpeptidase,
BW25113_RS00755,BW25113_RS00755,BW25113_0150,fhuA,ferrichrome porin FhuA,
BW25113_RS00760,BW25113_RS00760,BW25113_0151,fhuC,Fe3+-hydroxamate ABC transporter ATP-binding protein FhuC,
BW25113_RS00765,BW25113_RS00765,BW25113_0152,fhuD,Fe(3+)-hydroxamate ABC transporter substrate-binding protein FhuD,
BW25113_RS00770,BW25113_RS00770,BW25113_0153,fhuB,Fe(3+)-hydroxamate ABC transporter permease FhuB,
BW25113_RS00775,BW25113_RS00775,BW25113_0154,NULL,glutamate-1-semialdehyde 2,1-aminomutase,
BW25113_RS00780,BW25113_RS00780,BW25113_0155,clcA,H(+)/Cl(-) exchange transporter ClcA,
BW25113_RS25410,BW25113_RS25410,NULL,NULL,protein YadW,
BW25113_RS00785,BW25113_RS00785,BW25113_0156,erpA,iron-sulfur cluster insertion protein ErpA,
BW25113_RS00790,BW25113_RS00790,BW25113_0157,NULL,TRIC cation channel family protein,
BW25113_RS00795,BW25113_RS00795,BW25113_0158,btuF,vitamin B12 ABC transporter substrate-binding protein BtuF,
BW25113_RS00800,BW25113_RS00800,BW25113_0159,mtnN,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,
BW25113_RS00805,BW25113_RS00805,BW25113_0160,NULL,dGTPase,
BW25113_RS00810,BW25113_RS00810,BW25113_0161,degP,serine endoprotease DegP,
BW25113_RS00815,BW25113_RS00815,BW25113_0162,NULL,CdaR family transcriptional regulator,
BW25113_RS00820,BW25113_RS00820,BW25113_0163,NULL,DUF3461 family protein,
BW25113_RS25415,BW25113_RS25415,NULL,NULL,hypothetical protein,
BW25113_RS00825,BW25113_RS00825,BW25113_0164,yaeI,phosphodiesterase YaeI,
BW25113_RS00830,BW25113_RS00830,BW25113_0166,dapD,2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase,
BW25113_RS00835,BW25113_RS00835,BW25113_0167,glnD,bifunctional uridylyltransferase/uridylyl-removing protein GlnD,
BW25113_RS00840,BW25113_RS00840,BW25113_0168,map,type I methionyl aminopeptidase,
BW25113_RS00845,BW25113_RS00845,BW25113_0169,rpsB,30S ribosomal protein S2,
BW25113_RS00850,BW25113_RS00850,BW25113_0170,tsf,elongation factor Ts,
BW25113_RS00855,BW25113_RS00855,BW25113_0171,pyrH,UMP kinase,
BW25113_RS00860,BW25113_RS00860,BW25113_0172,NULL,ribosome recycling factor,
BW25113_RS00865,BW25113_RS00865,BW25113_0173,ispC,1-deoxy-D-xylulose-5-phosphate reductoisomerase,
BW25113_RS00870,BW25113_RS00870,BW25113_0174,ispU,(2E,6E)-farnesyl-diphosphate-specific ditrans,polycis-undecaprenyl-diphosphate synthase,
BW25113_RS00875,BW25113_RS00875,BW25113_0175,cdsA,phosphatidate cytidylyltransferase,
BW25113_RS00880,BW25113_RS00880,BW25113_0176,rseP,sigma E protease regulator RseP,
BW25113_RS00885,BW25113_RS00885,BW25113_0177,bamA,outer membrane protein assembly factor BamA,
BW25113_RS00890,BW25113_RS00890,BW25113_0178,skp,molecular chaperone Skp,
BW25113_RS00895,BW25113_RS00895,BW25113_0179,lpxD,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,
BW25113_RS00900,BW25113_RS00900,BW25113_0180,fabZ,3-hydroxyacyl-ACP dehydratase FabZ,
BW25113_RS00905,BW25113_RS00905,BW25113_0181,lpxA,acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase,
BW25113_RS00910,BW25113_RS00910,BW25113_0182,lpxB,lipid-A-disaccharide synthase,
BW25113_RS00915,BW25113_RS00915,BW25113_0183,rnhB,ribonuclease HII,
BW25113_RS00920,BW25113_RS00920,BW25113_0184,dnaE,DNA polymerase III subunit alpha,
BW25113_RS00925,BW25113_RS00925,BW25113_0185,accA,acetyl-CoA carboxylase carboxyl transferase subunit alpha,
BW25113_RS00930,BW25113_RS00930,BW25113_0186,ldcC,lysine decarboxylase LdcC,
BW25113_RS00935,BW25113_RS00935,BW25113_0187,NULL,VOC family protein,
BW25113_RS00940,BW25113_RS00940,BW25113_0188,tilS,tRNA lysidine(34) synthetase TilS,
BW25113_RS00945,BW25113_RS00945,BW25113_0189,rof,Rho-binding antiterminator,
BW25113_RS00950,BW25113_RS00950,BW25113_4406,NULL,YaeP family protein,
BW25113_RS00955,BW25113_RS00955,BW25113_0190,NULL,YaeQ family protein,
BW25113_RS00960,BW25113_RS00960,BW25113_0191,NULL,aminoacyl-tRNA hydrolase,
BW25113_RS00965,BW25113_RS00965,BW25113_0192,nlpE,envelope stress response activation lipoprotein NlpE,
BW25113_RS00970,BW25113_RS00970,BW25113_0193,NULL,YaeF family permuted papain-like enzyme,
BW25113_RS00975,BW25113_RS00975,BW25113_0194,proS,proline--tRNA ligase,
BW25113_RS00980,BW25113_RS00980,BW25113_0195,tsaA,tRNA (N6-threonylcarbamoyladenosine(37)-N6)-methyltransferase TrmO,
BW25113_RS00985,BW25113_RS00985,BW25113_0196,rcsF,Rcs stress response system protein RcsF,
BW25113_RS00990,BW25113_RS00990,BW25113_0197,metQ,methionine ABC transporter substrate-binding lipoprotein MetQ,
BW25113_RS00995,BW25113_RS00995,BW25113_0198,metI,methionine ABC transporter permease MetI,
BW25113_RS01000,BW25113_RS01000,BW25113_0199,metN,methionine ABC transporter ATP-binding protein MetN,
BW25113_RS01005,BW25113_RS01005,BW25113_0200,gmhB,D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase,
BW25113_RS01010,BW25113_RS01010,BW25113_0201,NULL,16S ribosomal RNA,
BW25113_RS01015,BW25113_RS01015,BW25113_0202,NULL,tRNA-Ile,
BW25113_RS01020,BW25113_RS01020,BW25113_0203,NULL,tRNA-Ala,
BW25113_RS01025,BW25113_RS01025,BW25113_0204,NULL,23S ribosomal RNA,
BW25113_RS01030,BW25113_RS01030,BW25113_0205,rrf,5S ribosomal RNA,
BW25113_RS01035,BW25113_RS01035,BW25113_0206,NULL,tRNA-Asp,
BW25113_RS01040,BW25113_RS01040,BW25113_0207,dkgB,2,5-didehydrogluconate reductase DkgB,
BW25113_RS01045,BW25113_RS01045,BW25113_0208,NULL,LysR family transcriptional regulator,
BW25113_RS01050,BW25113_RS01050,BW25113_0209,NULL,endonuclease/exonuclease/phosphatase family protein,
BW25113_RS01055,BW25113_RS01055,BW25113_0210,NULL,methyltransferase domain-containing protein,
BW25113_RS01060,BW25113_RS01060,BW25113_0211,mltD,murein transglycosylase D,
BW25113_RS01065,BW25113_RS01065,BW25113_0212,gloB,hydroxyacylglutathione hydrolase,
BW25113_RS01070,BW25113_RS01070,BW25113_0213,NULL,class I SAM-dependent methyltransferase,
BW25113_RS01075,BW25113_RS01075,BW25113_0214,rnhA,ribonuclease HI,
BW25113_RS01080,BW25113_RS01080,BW25113_0215,dnaQ,DNA polymerase III subunit epsilon,
BW25113_RS01085,BW25113_RS01085,BW25113_0216,NULL,tRNA-Asp,
BW25113_RS01090,BW25113_RS01090,BW25113_0217,NULL,lipoprotein,
BW25113_RS01095,BW25113_RS01095,BW25113_4586,NULL,hypothetical protein,
BW25113_RS01100,BW25113_RS01100,NULL,NULL,hypothetical protein,
BW25113_RS25420,BW25113_RS25420,BW25113_4503,NULL,ISAs1 family transposase,
BW25113_RS01110,BW25113_RS01110,BW25113_0219,yafV,2-oxoglutaramate amidase,
BW25113_RS01115,BW25113_RS01115,BW25113_0220,NULL,C-lysozyme inhibitor,
BW25113_RS01120,BW25113_RS01120,BW25113_0221,NULL,acyl-CoA dehydrogenase,
BW25113_RS01125,BW25113_RS01125,BW25113_0222,lpcA,D-sedoheptulose 7-phosphate isomerase,
BW25113_RS01130,BW25113_RS01130,BW25113_0223,NULL,class II glutamine amidotransferase,
BW25113_RS01135,BW25113_RS01135,BW25113_0224,NULL,murein L,D-transpeptidase,
BW25113_RS01140,BW25113_RS01140,BW25113_0225,yafQ,type II toxin-antitoxin system mRNA interferase toxin YafQ,
BW25113_RS01145,BW25113_RS01145,BW25113_0226,dinJ,type II toxin-antitoxin system antitoxin DinJ,
BW25113_RS01150,BW25113_RS01150,BW25113_0227,NULL,NlpC/P60 family protein,
BW25113_RS01155,BW25113_RS01155,BW25113_0228,rayT,REP-associated tyrosine transposase RayT,
BW25113_RS01160,BW25113_RS01160,NULL,flhA,flagellar type III secretion system protein FlhA,
BW25113_RS01165,BW25113_RS01165,NULL,lafU,putative lateral flagellar export/assembly protein LafU,
BW25113_RS01170,BW25113_RS01170,BW25113_0231,dinB,DNA polymerase IV,
BW25113_RS01175,BW25113_RS01175,BW25113_0232,yafN,type I toxin-antitoxin system antitoxin YafN,
BW25113_RS01180,BW25113_RS01180,BW25113_0233,NULL,type II toxin-antitoxin system YafO family toxin,
BW25113_RS01185,BW25113_RS01185,BW25113_0234,NULL,GNAT family N-acetyltransferase,
BW25113_RS01190,BW25113_RS01190,NULL,NULL,hypothetical protein,
BW25113_RS01195,BW25113_RS01195,NULL,NULL,peptide chain release factor H,
BW25113_RS01200,BW25113_RS01200,BW25113_0237,pepD,cytosol nonspecific dipeptidase,
BW25113_RS01205,BW25113_RS01205,BW25113_0238,NULL,xanthine phosphoribosyltransferase,
BW25113_RS01210,BW25113_RS01210,BW25113_0239,frsA,esterase FrsA,
BW25113_RS01215,BW25113_RS01215,BW25113_0240,NULL,sigma factor-binding protein Crl,
BW25113_RS01220,BW25113_RS01220,BW25113_0241,phoE,phosphoporin PhoE,
BW25113_RS01225,BW25113_RS01225,BW25113_0242,proB,glutamate 5-kinase,
BW25113_RS01230,BW25113_RS01230,BW25113_0243,proA,glutamate-5-semialdehyde dehydrogenase,
BW25113_RS01235,BW25113_RS01235,BW25113_0244,NULL,tRNA-Thr,
BW25113_RS01240,BW25113_RS01240,BW25113_0245,ykfI,type IV toxin-antitoxin system toxin YkfI,
BW25113_RS01245,BW25113_RS01245,BW25113_0246,yafW,type IV toxin-antitoxin system antitoxin YafW,
BW25113_RS23240,BW25113_RS23240,BW25113_4504,NULL,DUF987 domain-containing protein,
BW25113_RS01250,BW25113_RS01250,BW25113_0247,NULL,RadC family protein,
BW25113_RS01255,BW25113_RS01255,BW25113_0248,NULL,antirestriction protein,
BW25113_RS01260,BW25113_RS01260,BW25113_0249,NULL,DUF905 domain-containing protein,
BW25113_RS01265,BW25113_RS01265,BW25113_0250,NULL,hypothetical protein,
BW25113_RS25425,BW25113_RS25425,BW25113_0251,NULL,lipoprotein, inner membrane; degP regulator; CP4-6 prophage,
BW25113_RS25430,BW25113_RS25430,BW25113_4627,NULL,hypothetical protein,
BW25113_RS25435,BW25113_RS25435,BW25113_4628,NULL,DeoR family transcriptional regulator,
BW25113_RS01280,BW25113_RS01280,BW25113_0252,NULL,DUF945 domain-containing protein,
BW25113_RS01285,BW25113_RS01285,BW25113_0253,NULL,GTPase family protein,
BW25113_RS01290,BW25113_RS01290,BW25113_0254,NULL,LysR family transcriptional regulator,
BW25113_RS01295,BW25113_RS01295,NULL,NULL,transposase,
BW25113_RS25440,BW25113_RS25440,NULL,NULL,phage tail protein,
BW25113_RS01300,BW25113_RS01300,BW25113_0256,NULL,IS30-like element IS30 family transposase,
BW25113_RS01305,BW25113_RS01305,NULL,NULL,IS3 family transposase,
BW25113_RS01310,BW25113_RS01310,NULL,NULL,hypothetical protein,
BW25113_RS01320,BW25113_RS01320,NULL,NULL,hypothetical protein,
BW25113_RS01325,BW25113_RS01325,BW25113_0259,NULL,IS5-like element IS5 family transposase,
BW25113_RS01330,BW25113_RS01330,BW25113_0260,mmuP,S-methylmethionine permease,
BW25113_RS01335,BW25113_RS01335,BW25113_0261,mmuM,homocysteine S-methyltransferase,
BW25113_RS01340,BW25113_RS01340,BW25113_0262,NULL,Fe(3+) ions import ATP-binding protein FbpC,
BW25113_RS01345,BW25113_RS01345,NULL,NULL,ABC transporter permease subunit,
BW25113_RS01350,BW25113_RS01350,BW25113_0264,NULL,IS1 family transposase,
BW25113_RS23265,BW25113_RS23265,BW25113_4708,NULL,IS30 family transposase,
BW25113_RS01360,BW25113_RS01360,NULL,NULL,transposase,
BW25113_RS01365,BW25113_RS01365,NULL,NULL,type IV toxin-antitoxin system YeeU family antitoxin,
BW25113_RS01370,BW25113_RS01370,BW25113_0267,NULL,IS481-like element ISEc19 family transposase,
BW25113_RS01375,BW25113_RS01375,BW25113_0268,yagE,2-keto-3-deoxygluconate aldolase,
BW25113_RS01380,BW25113_RS01380,BW25113_0269,NULL,YjhG/YagF family D-xylonate dehydratase,
BW25113_RS01385,BW25113_RS01385,BW25113_0270,NULL,MFS transporter,
BW25113_RS01390,BW25113_RS01390,BW25113_0271,NULL,glycoside hydrolase family 43 protein,
BW25113_RS01395,BW25113_RS01395,BW25113_0272,xynR,DNA-binding transcriptional repressor XynR,
BW25113_RS01400,BW25113_RS01400,BW25113_0273,argF,ornithine carbamoyltransferase,
BW25113_RS23270,BW25113_RS23270,BW25113_4688,NULL,DUF3987 domain-containing protein,
BW25113_RS01405,BW25113_RS01405,BW25113_0274,NULL,IS1 family transposase,
BW25113_RS01410,BW25113_RS01410,NULL,NULL,hypothetical protein,
BW25113_RS01415,BW25113_RS01415,BW25113_0277,NULL,inovirus Gp2 family protein,
